name,id,follower,following,year,score,bot,url
ruzbehpersian,1291654964373327873,2165,3628,2020,1.0,True,https://twitter.com/intent/user?user_id=1291654964373327873
a_hosein_a,1154858958387056645,16196,14661,2019,1.0,True,https://twitter.com/intent/user?user_id=1154858958387056645
hsn_jafarzadeh,1310128665641000960,1248,808,2020,0.0646917534027221,False,https://twitter.com/intent/user?user_id=1310128665641000960
khanoom_dehdari,1364956487836176389,11635,9115,2021,1.0,True,https://twitter.com/intent/user?user_id=1364956487836176389
fateme313_sadat,1450919482088624140,3139,3188,2021,1.0,True,https://twitter.com/intent/user?user_id=1450919482088624140
rarhdd1370,3992765074,2387,2588,2015,0.54,True,https://twitter.com/intent/user?user_id=3992765074
Montazeeer,1419615609952907264,14670,7258,2021,1.0,True,https://twitter.com/intent/user?user_id=1419615609952907264
hibaa987,1422085011512123393,545,907,2021,0.2076465201465201,True,https://twitter.com/intent/user?user_id=1422085011512123393
AhooraAhoorai,1468168120846147589,1637,4703,2021,1.0,True,https://twitter.com/intent/user?user_id=1468168120846147589
saam_mey,1152147341408919555,4336,4996,2019,1.0,True,https://twitter.com/intent/user?user_id=1152147341408919555
Mahsa88162084,1247109766897254406,1449,1519,2020,0.8380689655172415,True,https://twitter.com/intent/user?user_id=1247109766897254406
MRAnjomipoor,1061242629759873024,946,784,2018,0.0413938753959873,False,https://twitter.com/intent/user?user_id=1061242629759873024
mjidjafry,1530896375310958592,437,681,2022,0.2332191780821917,True,https://twitter.com/intent/user?user_id=1530896375310958592
akbari114461,1343425172976660485,1635,2863,2020,1.0,True,https://twitter.com/intent/user?user_id=1343425172976660485
Adenarn62,1247827631988518912,8462,8408,2020,1.0,True,https://twitter.com/intent/user?user_id=1247827631988518912
asna_543,1419971914441924623,1682,3316,2021,1.0,True,https://twitter.com/intent/user?user_id=1419971914441924623
F_Z313,1507688473318281219,2000,1657,2022,0.9937031484257872,True,https://twitter.com/intent/user?user_id=1507688473318281219
Mohghuiksnbz,1319411342554599426,1018,1229,2020,0.9648675171736998,True,https://twitter.com/intent/user?user_id=1319411342554599426
Hasan498673391,1527257033338081282,623,1750,2022,0.4206730769230769,True,https://twitter.com/intent/user?user_id=1527257033338081282
bayat_tajaddod,1444174232355749889,795,921,2021,0.1446293969849246,False,https://twitter.com/intent/user?user_id=1444174232355749889
zeinabam_,1429870324175319041,3394,3468,2021,1.0,True,https://twitter.com/intent/user?user_id=1429870324175319041
DokhtareTabiat,1215956438666895367,678,665,2020,0.0979381443298969,False,https://twitter.com/intent/user?user_id=1215956438666895367
_ava_m24,1449134169074937858,8919,8831,2021,1.0,True,https://twitter.com/intent/user?user_id=1449134169074937858
fatemeh_sabet,1214869491445903361,25904,7889,2020,1.0,True,https://twitter.com/intent/user?user_id=1214869491445903361
cilyotpeace,1497700256028532737,564,692,2022,0.183716814159292,False,https://twitter.com/intent/user?user_id=1497700256028532737
Mbakhtiari213,1393496223831707653,1693,2515,2021,1.0,True,https://twitter.com/intent/user?user_id=1393496223831707653
Mehdi__yb,1347080866464456705,2155,2529,2021,1.0,True,https://twitter.com/intent/user?user_id=1347080866464456705
Negar22a2,1437015322012360707,393,584,2021,0.1852791878172588,False,https://twitter.com/intent/user?user_id=1437015322012360707
alinikfar455_,1457324097680158721,305,673,2021,0.2749183006535948,True,https://twitter.com/intent/user?user_id=1457324097680158721
Anas93245083,1502266235995705344,29,67,2022,0.335,True,https://twitter.com/intent/user?user_id=1502266235995705344
iabdollahsamadi,1485338125253627911,244,363,2022,0.2222448979591836,True,https://twitter.com/intent/user?user_id=1485338125253627911
so_aperson,1389089411808256009,483,529,2021,0.1366219008264463,False,https://twitter.com/intent/user?user_id=1389089411808256009
banw_r,1514304775361343492,1168,1183,2022,1.0,True,https://twitter.com/intent/user?user_id=1514304775361343492
javadebnensan2,1349438890306895878,2148,2114,2021,1.0,True,https://twitter.com/intent/user?user_id=1349438890306895878
haj_yoni,3936081034,1078,1840,2015,0.6139017608897127,True,https://twitter.com/intent/user?user_id=3936081034
mrd_sayh,1522827588707794944,4712,5080,2022,1.0,True,https://twitter.com/intent/user?user_id=1522827588707794944
babadikohrang,1424965880782278657,3399,3722,2021,1.0,True,https://twitter.com/intent/user?user_id=1424965880782278657
khojaste2_al,1454712863482908677,339,737,2021,0.2709558823529411,True,https://twitter.com/intent/user?user_id=1454712863482908677
dokt_andi,1282434153527611395,5395,5105,2020,1.0,True,https://twitter.com/intent/user?user_id=1282434153527611395
alh_mhyt,1529579042344665094,283,295,2022,0.1558098591549296,False,https://twitter.com/intent/user?user_id=1529579042344665094
MPM_02,1522511147751993348,3402,3891,2022,1.0,True,https://twitter.com/intent/user?user_id=1522511147751993348
setareh14001400,1530605959105679363,14,76,2022,0.76,True,https://twitter.com/intent/user?user_id=1530605959105679363
nik_fza,1478097167357259782,1752,702,2022,0.0600684540787221,False,https://twitter.com/intent/user?user_id=1478097167357259782
Banoye_Iran1,1522137758835552256,349,348,2022,0.1491428571428571,False,https://twitter.com/intent/user?user_id=1522137758835552256
maryam_Amiri12,1418838895328903173,1193,1655,2021,1.0,True,https://twitter.com/intent/user?user_id=1418838895328903173
Mahmmoud3355,1221159394337067011,3716,3663,2020,1.0,True,https://twitter.com/intent/user?user_id=1221159394337067011
hmydrda43745474,1524330651612291075,618,713,2022,0.172778675282714,False,https://twitter.com/intent/user?user_id=1524330651612291075
hajebrahim135,1418872414126100481,2487,2363,2021,1.0,True,https://twitter.com/intent/user?user_id=1418872414126100481
HoseinM0066,1495397265372061698,2749,4997,2022,1.0,True,https://twitter.com/intent/user?user_id=1495397265372061698
GhasemBahram,1507641357464215552,104,110,2022,0.1571428571428571,False,https://twitter.com/intent/user?user_id=1507641357464215552
mahdi_azizi0,1418157642875297794,2129,2255,2021,1.0,True,https://twitter.com/intent/user?user_id=1418157642875297794
hoseinsaadatim,1444328273731801095,932,1034,2021,0.1385316184351554,False,https://twitter.com/intent/user?user_id=1444328273731801095
habibehkhalili,1314891829263953923,3549,4927,2020,1.0,True,https://twitter.com/intent/user?user_id=1314891829263953923
Mohadeseh2021Kh,1493994261142020096,21369,20764,2022,1.0,True,https://twitter.com/intent/user?user_id=1493994261142020096
MSadeghAsadi,1527419407504396303,372,409,2022,0.1644772117962466,False,https://twitter.com/intent/user?user_id=1527419407504396303
Pormand22,1493530272981204993,467,834,2022,0.2673076923076923,True,https://twitter.com/intent/user?user_id=1493530272981204993
mlk_hz,1036592500167860225,7565,7398,2018,1.0,True,https://twitter.com/intent/user?user_id=1036592500167860225
alireza99292,1317784912615923712,3141,0,2020,1.0,True,https://twitter.com/intent/user?user_id=1317784912615923712
mooji7778,1479472925774270468,8502,7431,2022,1.0,True,https://twitter.com/intent/user?user_id=1479472925774270468
abolfazl__slh,1308730666910191618,7598,5723,2020,1.0,True,https://twitter.com/intent/user?user_id=1308730666910191618
sahi1370,1261654073524326400,2909,2348,2020,1.0,True,https://twitter.com/intent/user?user_id=1261654073524326400
sharaf_moslem,1442495713473007628,764,1995,2021,0.3259803921568627,True,https://twitter.com/intent/user?user_id=1442495713473007628
bachenane7,1492504573810036741,1225,1319,2022,1.0,True,https://twitter.com/intent/user?user_id=1492504573810036741
H_R_MJ,1297151672536440832,10825,11911,2020,1.0,True,https://twitter.com/intent/user?user_id=1297151672536440832
mhosseinafshari,911161774346506245,740,702,2017,0.0426315789473684,False,https://twitter.com/intent/user?user_id=911161774346506245
saeed74943044,1514070397351776259,2019,3938,2022,1.0,True,https://twitter.com/intent/user?user_id=1514070397351776259
zeynabmirali,1391467984892346371,302,441,2021,0.1819306930693069,False,https://twitter.com/intent/user?user_id=1391467984892346371
Dr_P_Latifi,1362127672026030083,985,2261,2021,0.2866379310344827,True,https://twitter.com/intent/user?user_id=1362127672026030083
S_mostafa_A,1529377224759160832,21,41,2022,0.2795454545454545,True,https://twitter.com/intent/user?user_id=1529377224759160832
farima_1400,1432223170317197312,440,480,2021,0.1360544217687075,False,https://twitter.com/intent/user?user_id=1432223170317197312
moesrad3544,1381152650389954561,2250,4937,2021,1.0,True,https://twitter.com/intent/user?user_id=1381152650389954561
Milad_safinia,1251217615156060172,3834,4792,2020,1.0,True,https://twitter.com/intent/user?user_id=1251217615156060172
